point_id,latitude,longitude,node
1,40.090679,116.173553,0
2,40.00395,116.20531,1
3,39.914409,116.184239,2
4,39.815128,116.17115,3
5,39.742767,116.136045,4
6,39.987313,116.287451,5
7,39.982053,116.3974,6
8,39.954047,116.348991,7
9,39.878193,116.351974,8
10,39.876184,116.394009,9
11,39.855958,116.36781,10
12,39.937119,116.460742,11
13,39.929287,116.416883,12
14,39.939554,116.483746,13
15,39.929302,116.351029,14
16,39.86347,116.279082,15
17,39.718147,116.406155,16
18,39.794491,116.506319,17
19,39.885241,116.664162,18
20,39.886491,116.407355,19
21,39.899135,116.395383,20
22,39.920993,116.443448,21
23,40.127,116.655,22
24,40.216999,116.23,23
25,39.936999,116.105999,24
26,40.143,117.099999,25
27,40.328,116.628,26
28,40.369999,116.831999,27
29,40.453,115.971999,28
30,40.292,116.22,29
31,40.365,115.988,30
32,40.499,116.911,31
33,40.1,117.12,32
34,39.712,116.783,33
35,39.52,116.3,34
36,39.579999,116.0,35
