point_id,latitude,longitude,node
1,-24.952534738151087,-42.98947019581445,0
2,-24.95739482226378,-43.03127742848212,1
3,-24.96426970881769,-42.92404184472392,2
4,-24.96914843047598,-42.9658504589866,3
5,-24.97401531218672,-43.00766238010591,4
6,-24.978870350433414,-43.04947760103661,5
7,-24.98575816690223,-42.94222423403553,6
8,-24.99063185037848,-42.984040843511046,7
9,-24.99549368772054,-43.02586075948857,8
10,-25.000343675413443,-43.06768397490997,9
11,-25.002363943524628,-42.9185915159296,10
12,-25.00724443293472,-42.960412813659495,11
13,-25.012113073542658,-43.00223742459106,12
14,-25.01696986182732,-43.04406534166269,13
15,-25.018965756435577,-42.89495229963765,14
16,-25.023853055948653,-42.93677828551365,15
17,-25.02872850399384,-42.97860759130009,16
18,-25.03359209704382,-43.02044020993185,17
19,-25.038443831579038,-43.06227613433445,18
20,-25.040457715511103,-42.91313725403647,19
21,-25.045339975165696,-42.95497125457214,20
22,-25.0502103771554,-42.996808574667504,21
23,-25.05506891795445,-43.03864920724455,22
24,-25.0619474831475,-42.93132840936422,23
25,-25.06682469825215,-42.97317043082021,24
26,-25.071690049492474,-43.01501577147785,25
27,-25.076543533344253,-43.05686442424621,26
28,-25.078551024025977,-42.90767905063377,27
29,-25.08343505642166,-42.94952577334101,28
30,-25.088307222281543,-42.99137582197894,29
31,-25.093167518075223,-43.03322918945315,30
32,-25.10004144774912,-42.92587459718141,31
33,-25.10492043240769,-42.96772935369292,32
34,-25.109787544324615,-43.009587435775344,33
35,-25.121529675954505,-42.94407636156532,34
36,-25.126403608176865,-42.98593915815192,35
